"WK" "CPU_CLOCKS_UNHALTED" "INSTRUCTIONS_RETIRED" "UOPS_RETIRED" "DISPATCH_STALLS" "DISPATCHED_FAST_FPU" "BRANCH_MISPREDICT_RETIRED" "POWER"
1 61043359758 62973968817 67981561065 35450801645 2009376689 82841837 94.1625
1 62648855065 64805488257 69890474390 35592793266 2029254753 79707570 93.925
1 62614916581 64988654261 70213254969 35620684552 2032824756 82609706 94.0625
1 62283953929 64463605127 69593762212 35528136957 2014299143 83269213 94.2125
1 62635344158 64884439785 70014023388 35576932518 2027111630 81628237 94.325
1 62484717717 64853398681 70067128114 35531742266 2023935930 82313618 94.4375
1 62053145029 64276032478 69339382558 35513183331 2034560810 81651131 94.5375
1 61802014587 63908468956 68926493244 35574280201 2030648758 79210911 94.5375
1 62294870073 64609922176 69783306968 35621721493 2028777463 80342047 94.675
1 62001313480 64350035291 69515116180 35652970524 2026176167 82455284 94.8625
1 62026928807 64149826365 69189488389 35529631142 2025365449 79500472 94.875
1 61984671405 64191478487 69228442967 35578814976 2021705046 78060816 94.8625
1 62337057985 64868230153 70106629905 35425577696 1922707215 83492886 95.4375
1 62561282992 64899691676 69988403997 35619295811 2007613330 77930412 95.4
1 62392179351 64535253063 69573896619 35644982844 2036439016 78839485 95
1 62143294750 64364809569 69497363929 35493642804 2006241701 82832225 94.85
1 62053071883 64385509865 69570579024 35410712418 2014998232 82216360 94.8
1 62578974579 64668690157 69696901550 35606478200 2037005871 80589812 94.85
1 62451998969 64730038377 69835275109 35659309319 2041864278 80896833 94.925
1 62337236217 64847167891 70090932271 35249407209 1991555597 82115899 94.85
1 62496679107 64814982453 69888055934 35596702239 2042689575 78442097 94.825
1 62578252083 64843864177 69915503042 35713783765 2062281372 79089552 94.85
1 62325074511 64840060419 70062143899 35494301009 2027172553 81302735 94.8125
1 61615125865 63929005751 69094284298 35440711441 2014929939 80783856 94.5875
1 57724054251 59794794973 64550952555 35395785155 2021164145 78544410 94.4375
2 58711729395 71523723776 78655712597 29587091746 1437090256 149166173 95.8875
2 58849960678 71912277356 79111334081 29886544934 1443464772 149407650 96.4
2 58760970322 71670734225 78826688570 29789192376 1444904226 147927359 96.4875
2 61116674760 68221953386 74351539793 34034794470 1566588388 111182709 96.65
2 63921498810 66629246758 71471655159 36356803697 1670279009 70929146 96.9875
2 63871887692 66440435874 71243104237 36219543450 1678960944 65110138 97.125
2 63861137510 66403422973 71243934476 36324877305 1684056407 59322327 97.0625
2 63860901134 66377017840 71177240546 36338594826 1670998116 61477251 97.0625
2 63905145519 66360075411 71164476161 36324151904 1678323143 63228715 96.9875
2 63861448332 66539552009 71409159891 36234284401 1659719576 72559945 96.95
2 63866274497 66367554330 71168192824 36330229843 1680045309 74782839 96.825
2 63905650920 66456460074 71257948373 36313371509 1678778161 65263762 96.675
2 63866088124 66258065762 71043159832 36294769863 1680899720 69996646 96.65
2 63869360099 66698651022 71583728425 36338270800 1672956973 62420364 96.7375
2 63871474759 66418797079 71239139796 36268813181 1671376206 64447534 96.8375
2 63846416575 66490270579 71343362112 36386530819 1673730989 64625099 96.8125
2 63859221908 66466542109 71270638383 36271996883 1683550139 65025725 96.825
2 63900406220 66079357460 70853090736 36374818323 1695728088 62347571 96.8
2 60555891360 65536236948 73541498877 30363311856 1489092547 110412286 96.1
2 57351647973 64942300529 76664461646 30114383236 1518945590 106238275 94.825
2 55808277464 58831446684 64222858883 32637798849 1772354624 69879774 92.6
2 55361708048 57690073746 62231553346 32538775500 1799430406 68337962 90.475
2 55085835107 57525999876 62120288201 32395216339 1785355018 70079875 89.6625
2 55106096383 57343788107 61933317136 32307526897 1777094732 66213960 89.4625
3 61707343489 64840691680 68643433984 28802976730 2383953714 486274316 99.9625
3 63857846043 68669299603 71782954171 27385684277 2503441545 540370504 101.475
3 64001044859 69043670375 72187534368 28004472017 2460709240 521937295 101.7375
3 63865197148 68453577768 71619759296 27808276701 2450422133 533749618 101.9625
