"WK" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "UNHALTED_CLK_CYCLES" "POWER"
1 288029814 6931746433 6139000351 42895128 66976790525 65967381601 15238990997 17953522706 3492185 82231293 293417355 42029576156 34.37468
1 270999983 6628720011 5871850836 40077153 64260499488 73357566687 16571445318 19169050635 3451890 91990032 313942929 45641839158 34.24954
1 258289021 6412324221 5680899602 40643788 63248565387 81589681007 18052995217 20941617573 3311325 99077389 285358184 50302292932 33.37466
1 262090427 6590946264 5839712956 39130451 64588645355 59915147378 13527026634 16458415389 4245207 65815250 229881445 39933409319 33.87465
1 191216887 4411559696 3909836675 25344999 40221128353 90433238034 20471278458 23221961805 3279925 118676910 354940737 53650969438 32.62466
1 202515656 4709018768 4176378194 29051271 43169975489 67134638725 15197640786 17958685152 3094068 83290594 263091654 42524003532 34.24955
1 222141783 5416721697 4805100842 33375937 51288935978 71071814993 15920522200 18663951941 3239219 86160168 252038875 44778861992 33.24965
1 247163967 6058291907 5369886620 38048337 58741989514 67175398056 14925152830 17486329853 3744998 79604938 264316116 42049461214 33.74965
1 197834279 4620057106 4097769513 26607548 42641508949 82528978818 18611376575 21469776407 3145751 105815271 337642550 50381314608 33.99963
1 53018721 1195782110 1057689010 6826874 10781825077 21283725452 4856389391 5926546141 1949389 28215033 82091801 14397070157 33.37466
2 308126375 13675065009 11439321204 71545596 94048839552 89427161533 18666610003 19479566109 3095356 112187602 220132764 43272422191 31.12463
2 381930204 14599797668 12237509673 77520320 105930369701 77910716318 17167377734 19552351523 5169808 87262185 201828753 45030472031 31.12463
2 841452201 8124662747 6054229555 45816766 82755330264 80240878668 19910754988 23058395446 7227873 83748479 193367973 51597465947 35.49959
2 759872934 8002998932 6113159876 45256080 81544710840 90693650289 21808203860 25164190734 8961455 89229506 209167792 57959730359 41.74952
2 614138714 6563722941 5045581632 36727105 65957001378 113495094035 29086115684 32226145016 5732448 109356177 260698757 70146371804 42.24952
2 343129393 4669391555 3806392497 26494761 45522161147 111605726734 29994290603 34305046325 11886915 80113458 217086086 74467221758 39.99941
2 530882208 6313634564 4979922629 35346709 63269671335 130431714616 35176724321 38289495629 7607100 96018625 242175623 80072531289 41.9995
2 580489736 7867414476 6367237123 44582137 80354659025 155215009728 41465950532 44707687419 4983086 132962130 291986915 92523898624 42.62449
2 750753725 7942563623 6082402083 45877671 80696392145 90385314118 27536702312 28817185958 4265954 36402583 115189393 53560600736 42.12448
2 479461363 5986443382 4076011076 42647722 40350941649 26312103519 3978259208 5076539968 3164676 18559782 20716192 14030437757 29.74964
2 103126053 2876718410 2076021560 23097538 13714381731 13444290353 445808997 1166684920 2688090 17884036 17224283 6933508215 23.87472
3 2171610402 13325491597 12392847087 426642181 101467458511 137573777551 22993592255 30198191533 33226048 70497409 359496372 91989025344 36.12466
3 2399739756 13579566383 12645709934 482088095 99430935667 116438145216 20351159671 27200476289 43739130 66919525 360283896 81131411604 35.9995
3 2888700570 14977327968 14053862210 575800520 105572855144 110072632946 19916353344 27041885087 44174873 78715667 410800867 79483775237 35.99951
3 2430547993 13931330087 12976980072 492856215 103012937432 123980699071 22775858345 30136790558 40874586 89834823 430662513 85118423683 35.99964
