"TIME" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "POWER" "UNHALTED_CLK_CYCLES"
10 8427 114852 59987 2309 929985 1379854 172896 256409 497 1999 6273 1713.6 1601084
20 2615160506 28963148600 19389119100 593315880 244755440000 295301120000 61624376000 72750227000 183608761 1109624190 1676933010 50 223294190000
30 2533480488 30362087200 20575143800 521088960 255103110000 309994040000 58354949000 69503337000 202485396 1137729220 1331779030 51 226116950000
40 2545535554 28563555000 19902214200 588517860 244032250000 288118970000 67351154000 78573867000 204739465 1013861900 1540522800 50.3 226753192000
50 2556173911 28117001100 19577946100 647624028 238849923000 2.81512e+11 67036234000 78625802000 176787501 1164437030 1701047630 50.1 226636330000
60 2585079164 28382563700 19890930500 682930850 238082520000 285652070000 69946885000 81698886000 200920588 1121545595 1633946170 49.9 226092262000
70 3106186087 30815298700 22191201000 558430330 221426869000 266161961000 58134623500 63187114600 98024179 400637199 706236334 46.6 168054730000
80 3213906512 31060771200 22540638470 466658972 209845834000 255663624180 66634301867 70350684782 122435699 11435472 178287075 45 137249162448
90 2632715859 26550534400 18931726400 362798530 190641878000 243468663000 110691143000 118054768000 294722571 8062983 612385663 45.9 197831474623
100 2774186540 27131390300 19403081800 374883999 196242792000 243774757357 112056942208 119124919659 296294838 6436210 649187207 46.3 203041975169
110 2788108933 20500747512 14689635819 345249563 203241784930 255702200000 106491159000 114166798000 307330341 5908344 576336653 45.6 197469463000
120 1602767468 12828647463 8482990768 222613769 145034392464 186377440000 88583752000 90567446000 383363757 2018004 711084804 41.6 130765671535
130 2984623150 4314109570 1883063890 163950740 151124804000 185814697800 95389874800 97882762200 389935885 5102162 703709650 45.1 157565146000
140 3892625464 4431957033 2097770312 196749192 181800527030 260448998382 112766866670 116801908159 353783901 6959070 629774153 47.3 179672478320
150 3871601291 4412401027 2078643808 195785384 180396100080 261611197517 112508794587 116561323995 351807184 6572608 634217540 47.5 181421367000
160 3765974140 4387263800 2039644180 192448138 175772562000 258849891200 107216644700 110967761200 333763293 7078153 625274090 46.9 177465443000
170 3920482263 3034725826 1907655189 192107809 163808880935 231293129091 58201602237 59307706232 158880860 6576660 424223412 44.2 129370080748
180 4083124541 1877779207 1635145735 184548981 159756309624 229771427144 44500182918 45599725131 49626197 6793902 173881683 41.5 96649952583
190 1244185906 512990283 474800580 56183952 48453416549 135840011190 25888411411 26527665481 28237697 3622660 88709815 29.5 52124960187
200 4143 4679851 3690781 59304 19916588 29027023 410422 1099458 8392 191004 49625 14.8 9923818
210 3513 3728507 2911252 46030 16053607 18032245 234917 717741 4724 246138 64444 14.8 12745986
220 3324 3735124 2940115 52743 15866829 17231372 193891 637705 3656 191779 53612 14.7 9923762
230 3501 3583448 2823598 47285 15246277 17868116 196009 706672 4057 205512 69341 14.6 11090591
240 3561 4699088 3703830 58222 20062801 24278750 359055 1055678 5238 247696 64940 14.7 12691883
250 3369 3893209 3063636 55714 16587690 17502130 210866 658643 4078 193406 55462 14.7 10268162
260 3348 3582587 2819950 45518 15340686 17491608 211348 658789 3245 199060 63540 14.6 10361680
270 3530 4844577 3794629 58674 20763638 23332127 281643 906458 3719 250729 67829 14.7 12927001
280 3459 3607812 2837809 44617 15546260 17411430 205405 668236 2540 189551 50745 14.5 9632962
290 3357 3707539 2912157 49353 15947923 18126054 209077 712572 2633 196082 54038 14.6 10274834
300 3500 4731397 3725869 58616 20304589 22972271 258806 860007 2812 246853 62463 14.7 12757796
310 3340 3626165 2860606 50075 15295504 17541329 212077 661371 1836 191267 51833 14.5 10129448
320 3365 3721725 2926816 48420 16002525 17176345 193653 634916 1813 199770 60231 14.6 10519154
330 3461 4874155 3818583 61302 20876352 22679602 261078 834751 2372 273066 68941 14.4 13522530
340 3463 3581406 2819630 44763 15350416 18849486 261854 808007 1866 189495 50041 14.5 9809968
350 3322 3960831 3113633 56599 16951437 20416146 416580 1332859 7925 188823 48270 14.4 9721918
360 3528 4705747 3707994 59079 20107671 22454833 250573 825018 1482 258654 76354 14.4 13544170
370 3413 3626053 2852149 46293 15623415 17859572 227235 738057 1535 191977 50711 14.3 10853189
380 3313 3774451 2969426 52329 16104807 17158775 194467 638333 931 224617 86518 14.4 12387298
390 3429 4819822 3780236 60207 20468806 22995061 272270 848632 1532 254284 69678 14.3 13305026
400 3477 3609125 2838664 44703 15559872 18003599 223427 722335 2153 189361 48370 14.3 9771525
10 8972 109383 96994 1617 1073831 1017946 387131 473394 3356 2806 9443 5568.8 1867596
20 2202294344 22076061300 15468512600 524416980 228985560000 278260160000 107160606000 120817658000 758706572 869188430 2268289140 51 256903230000
30 2217297410 22231922000 15658994800 442545330 236957890000 289046480000 103225886000 117421798000 800418251 779411220 1904380480 51.7 2.58445e+11
40 2220396769 22031283900 15615290300 462334020 234041750000 282907650000 106929667000 121116187000 801088277 769637892 2040010660 51.4 259160090000
50 2237501681 21915142000 15584963600 519423860 229679740000 276287830000 106853139000 121539786000 765942331 806317172 2209669910 51.1 259900560000
60 2243355741 22034271800 15741839400 566790170 229681910000 275818460000 108106738000 122808660000 787507269 755755196 2134584772 50.8 259675510000
70 2384511454 22369079400 16119248100 570033460 227756150000 268069920000 105721962000 118783214000 785182036 599661010 1937889420 49.9 246086210000
80 2737997623 21227945870 15906405750 396257335 197381583300 247295511990 105034579730 112960834483 890658872 10293622 1328061508 47.4 200188843112
90 2974884906 22220118439 16949020551 382671599 206821488604 247640250000 107839482000 115695378000 926114190 9655733 1329171530 47.4 202714673340
100 2647199240 20582367800 15377155100 341020362 196600750000 232887595000 150921722000 161163730000 1043549069 6846436 1443950934 48 246342590000
110 2276473440 18304207000 13141862200 310365531 184304601000 226674470000 167798370000 179251250000 1052533959 6402697 1543510009 48 263877620000
120 2212870250 17786679800 12925827500 278669266 183536142000 225157780000 172950370000 184492080000 1105123411 6471364 1651175996 48.3 269003650000
130 2164668140 17413559900 12642610000 263279191 180607546000 223779310000 170085512000 181449900000 1101672883 6328683 1525896623 48 264720090000
140 706514900 8012665200 5273661680 92460178 107066966000 164994612000 146258657000 151938025000 1104677380 3753787 1563896490 46 208850460000
150 177425557 5264599100 2594795530 68905643 85998206000 109700592000 137097295000 140175132000 1168300261 1660536 1691263060 45.4 175465666000
160 178547492 5077838200 2651995430 53042436 86456437000 112599995620 145003243190 147863619187 1267824821 1872223 1726645130 45.8 180045610000
170 188362057 5234957570 2562267318 44903512 85471995900 112282465000 143964120000 146915205000 1246704000 1842633 1653181210 45.3 176639001000
180 177642012 5070433660 2666531490 35943731 86413231000 113756280130 140735185569 144390590428 1191337238 1663631 1702060192 46 181127475000
190 142441593 4402604980 2588867560 49417562 79431399000 104460615800 126750203500 129032141000 1172641873 1855086 1639290940 45.4 175141086000
200 101654888 3357153416 2773974546 33911750 69849678698 85836973648 88538463154 88969018607 1144285575 906467 1670853279 42.2 118191702836
210 107190370 2654744951 2554251935 9836755 68213247383 82362832491 75318880971 75592836268 1074137662 721425 1441549691 40 97003908205
220 107269418 2656280851 2551118706 5022826 68228328087 72133009170 65882664127 66122047625 936200299 684656 1146456052 35 76325199880
230 9253422 268552877 257077445 610786 6224059475 23104450 285585 925322 7543 196047 57570 1.844674e+18 10360486
240 4309 3582011 2820316 45003 15370636 17817744 239899 728950 4131 248551 63427 14.7 12848825
250 3307 3696454 2912757 49553 15709437 17256731 198516 645591 3173 188826 50091 14.6 9659179
260 3521 4741802 3732981 58983 20384068 17494776 206866 658776 2867 221596 74484 14.6 11777356
270 3440 3723017 2907996 45148 16018701 22796215 269028 850528 5633 283525 95599 14.5 15101881
280 3366 3553860 2799878 44551 15129472 18540223 302006 870271 7429 190363 48916 14.5 9835203
290 3458 5045470 3972454 70033 21465722 18159493 211091 717692 4864 230816 75413 14.4 11669321
300 3455 3618135 2844963 45693 15592096 22783745 258270 834107 4973 265105 87774 14.4 13816590
310 3268 3578682 2817393 45057 15322546 17869932 223464 732987 5256 201378 67909 14.3 10457137
320 3456 4862907 3827051 65153 20817765 17103193 190108 647870 2842 200757 62734 14.3 10660868
330 3432 3738954 2923006 48729 15970125 22794976 259295 834398 3213 246738 63975 14.1 12717197
340 3455 3579431 2818119 45019 15328270 17985548 217666 696207 2519 188877 49514 14.3 9772673
350 3326 3691573 2906173 48005 15772533 18134044 206350 712546 2649 187334 49028 14.2 9570084
360 3590 4732750 3727105 58595 20321222 22803641 259913 839649 2725 373459 203687 14.4 21383861
370 3395 3609253 2838515 44813 15545766 17755999 205548 695136 2801 191329 49159 14.3 9864104
380 4551 3662889 2870386 51253 15675139 122264175 5216838 7056941 6627 189263 48661 14.3 9744895
390 9483 5547557 4283377 83414 23692906 22676845 261772 848071 2316 258601 74887 14.2 13451991
400 3525 3580226 2818573 45011 15333376 17194210 194154 646706 2747 191945 51542 14.3 9817232
10 361 43130 22415 1305 751376 1059925 497487 472497 4357 1655 8224 2703.5 2439696
20 80117365 9593068400 5336400700 312837980 145850663000 173815279000 107322320000 113466920000 1060019330 722057960 2428484600 47.4 194128520000
